date | value
2016-02-29 | 1
0001-01-01 | 1
9999-12-31 | 1
2011-01-09 | 1
2011-09-01 | 1
 2011-01-03  |  3
2011-01-03   |   3
2011-13-01 | 1
2011-00-10 | 1
2011-01-32 | 1
2011-01-00 | 1
2012-02-30 | 1
2012-02-31 | 1
2011-02-29 | 1
2011-1-1 | 1
2011-01-1 | 1
2011-1-01 | 1
2011-01 | 1
2011 | 1
-01-03 | 1
abcd-ef-gh | 1
2011/01/03 | 1
2011.01.03 | 1
03-01-2011 | 1
2011-01-03a | 1
20110101 | 1
| 10
2011-01-03 10 | 1
-2020-01-01 | 1
2011--01-03 | 1
30000-01-01 | 1
2011-01-03 | 0
2011-01-03 | 0.0
2011-01-03 | 1000
2011-01-03 | 1000.0
2011-01-03 | 0.000001
2011-01-03 | 999.999
2011-01-03 | 000012.34
2011-01-03 | +100
2011-01-03 | -1
2011-01-03 | -0.01
2011-01-03 | 1001
2011-01-03 | 1000.0001
2011-01-03 | 
2011-01-03 | abc
2011-01-03 | 123abc
2011-01-03 | 1e3
2011-01-03 | 1E3
2011-01-03 | 10E+2
2011-01-03 | ++10
2011-01-03 | --5
2011-01-03 | +-10
2011-01-03 | 1,5
2011-01-03 | 1.2.3
2011-01-03 | inf
2011-01-03 | NaN
2011-01-03 | +
2011-01-03 | -
2011-01-03 | 999999999999999999999999999999999999999999999999999999999999999
2011-02-29 | 1001
2012-02-30 | -5
2011-01-03 | abc
abcd-ef-gh | 999
| 
 | 
2011-01-03 |  
